epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,633.174,1.11262,0.74488,1.06833,0.83638,0.80563,0.8871,0.5627,1.22545,0.86254,1.17736,0.000646194,0.000646194,0.000646194
85,640.204,1.15859,0.78129,1.09168,0.74136,0.9047,0.88829,0.56238,1.21915,0.86041,1.1722,0.000636762,0.000636762,0.000636762
86,647.185,1.14226,0.77982,1.07886,0.74822,0.90509,0.89024,0.56855,1.18904,0.85422,1.1477,0.000627331,0.000627331,0.000627331
87,654.159,1.12322,0.77108,1.07429,0.83583,0.81593,0.89385,0.57492,1.18573,0.84978,1.14075,0.0006179,0.0006179,0.0006179
88,661.105,1.13228,0.73604,1.06612,0.84199,0.81826,0.88527,0.5672,1.19444,0.8298,1.13345,0.000608468,0.000608468,0.000608468
89,667.893,1.10689,0.7615,1.06694,0.84607,0.812,0.88484,0.56775,1.18316,0.82555,1.13014,0.000599037,0.000599037,0.000599037
90,674.775,1.15224,0.7647,1.09098,0.84013,0.82154,0.88395,0.56207,1.18314,0.83357,1.13924,0.000589605,0.000589605,0.000589605
91,681.802,1.13103,0.76604,1.0678,0.82522,0.82312,0.88449,0.56227,1.18147,0.83575,1.13885,0.000580174,0.000580174,0.000580174
92,688.821,1.14053,0.78259,1.07361,0.75818,0.90748,0.88466,0.56031,1.18481,0.83433,1.13932,0.000570743,0.000570743,0.000570743
93,695.875,1.14368,0.7581,1.07616,0.76293,0.90473,0.89064,0.56572,1.19129,0.83048,1.1397,0.000561311,0.000561311,0.000561311
94,702.976,1.14935,0.78311,1.0733,0.77954,0.91494,0.89596,0.57931,1.18046,0.82792,1.13818,0.00055188,0.00055188,0.00055188
95,709.846,1.14495,0.77783,1.08821,0.7775,0.90291,0.89492,0.57347,1.184,0.82887,1.14537,0.000542448,0.000542448,0.000542448
96,716.841,1.11663,0.74997,1.05553,0.80643,0.87089,0.89353,0.56754,1.22168,0.84301,1.17123,0.000533017,0.000533017,0.000533017
97,723.841,1.13472,0.76249,1.06357,0.80288,0.87097,0.89147,0.5691,1.21529,0.83716,1.16543,0.000523586,0.000523586,0.000523586
98,730.804,1.10022,0.74828,1.06315,0.79938,0.86639,0.89062,0.5684,1.20054,0.8341,1.14072,0.000514154,0.000514154,0.000514154
99,738.08,1.10907,0.75162,1.06057,0.79472,0.86156,0.88737,0.56337,1.20462,0.8353,1.13835,0.000504723,0.000504723,0.000504723
100,745.087,1.1246,0.76543,1.08014,0.79331,0.86002,0.88796,0.56355,1.19533,0.82737,1.13658,0.000495291,0.000495291,0.000495291
101,753.121,1.10524,0.74678,1.06281,0.83716,0.81493,0.88782,0.57031,1.18311,0.81674,1.13441,0.00048586,0.00048586,0.00048586
102,759.991,1.12081,0.75608,1.08296,0.82952,0.8229,0.88688,0.56936,1.18596,0.82202,1.1364,0.000476429,0.000476429,0.000476429
103,766.977,1.09341,0.73256,1.055,0.82603,0.82964,0.89063,0.57417,1.18238,0.82186,1.13671,0.000466997,0.000466997,0.000466997
104,773.857,1.11555,0.73945,1.07064,0.802,0.86555,0.89278,0.57846,1.1833,0.82042,1.14264,0.000457566,0.000457566,0.000457566
105,780.814,1.1001,0.72529,1.04688,0.79603,0.88144,0.89259,0.57632,1.18579,0.82706,1.14266,0.000448134,0.000448134,0.000448134
106,787.628,1.09845,0.74579,1.0616,0.80051,0.87355,0.89525,0.58142,1.17999,0.83145,1.14323,0.000438703,0.000438703,0.000438703
107,794.506,1.12391,0.74435,1.07119,0.80533,0.87428,0.89677,0.58788,1.17908,0.83044,1.14686,0.000429272,0.000429272,0.000429272
108,801.594,1.09956,0.73274,1.05057,0.81441,0.86026,0.89574,0.5813,1.19431,0.83294,1.15659,0.00041984,0.00041984,0.00041984
109,808.578,1.08861,0.73231,1.05659,0.83607,0.84264,0.89525,0.57602,1.18037,0.82641,1.14247,0.000410409,0.000410409,0.000410409
110,815.412,1.15801,0.74158,1.07787,0.82977,0.84694,0.89389,0.57851,1.18011,0.82678,1.13342,0.000400977,0.000400977,0.000400977
111,822.271,1.11162,0.73939,1.05822,0.82515,0.85669,0.89489,0.57857,1.17971,0.82485,1.13295,0.000391546,0.000391546,0.000391546
112,829.246,1.12737,0.73805,1.06766,0.81339,0.86564,0.8919,0.57392,1.17671,0.81586,1.12947,0.000382115,0.000382115,0.000382115
113,836.151,1.12318,0.76359,1.07158,0.83279,0.83235,0.89173,0.57795,1.18984,0.81533,1.12915,0.000372683,0.000372683,0.000372683
114,843.074,1.10947,0.776,1.08582,0.84702,0.83452,0.89562,0.57771,1.19488,0.81852,1.13145,0.000363252,0.000363252,0.000363252
115,849.865,1.07982,0.74861,1.05255,0.84247,0.82971,0.89472,0.57533,1.19162,0.82035,1.13227,0.00035382,0.00035382,0.00035382
116,856.731,1.10525,0.754,1.06923,0.82834,0.83618,0.89586,0.57448,1.19084,0.83523,1.14161,0.000344389,0.000344389,0.000344389
117,863.654,1.08124,0.74619,1.07,0.84804,0.83073,0.8987,0.57866,1.1874,0.83275,1.14352,0.000334958,0.000334958,0.000334958
118,870.696,1.10977,0.71928,1.05567,0.82074,0.8635,0.89968,0.58669,1.18385,0.8194,1.14078,0.000325526,0.000325526,0.000325526
119,877.68,1.09874,0.71975,1.05919,0.81144,0.87009,0.89893,0.58226,1.18436,0.81995,1.14199,0.000316095,0.000316095,0.000316095
120,884.715,1.09949,0.7291,1.06596,0.8316,0.85465,0.90087,0.586,1.18139,0.81754,1.1387,0.000306663,0.000306663,0.000306663
121,891.775,1.09292,0.73803,1.05665,0.82105,0.84828,0.9003,0.5891,1.18779,0.81679,1.14048,0.000297232,0.000297232,0.000297232
